test in  	| out(correct out)
test 0  	| -0.00132856(0)
test 0.05  	| 0.0521186(0.0499792)
test 0.1  	| 0.105639(0.0998334)
test 0.15  	| 0.15885(0.149438)
test 0.2  	| 0.211355(0.198669)
test 0.25  	| 0.262758(0.247404)
test 0.3  	| 0.312678(0.29552)
test 0.35  	| 0.360771(0.342898)
test 0.4  	| 0.406761(0.389418)
test 0.45  	| 0.450471(0.434966)
test 0.5  	| 0.49186(0.479426)
test 0.55  	| 0.531062(0.522687)
test 0.6  	| 0.568421(0.564642)
test 0.65  	| 0.604513(0.605186)
test 0.7  	| 0.640118(0.644218)
test 0.75  	| 0.6761(0.681639)
test 0.8  	| 0.713152(0.717356)
test 0.85  	| 0.751398(0.75128)
test 0.9  	| 0.790022(0.783327)
test 0.95  	| 0.82723(0.813416)
test 1  	| 0.860788(0.841471)
test 1.05  	| 0.888917(0.867423)
test 1.1  	| 0.910922(0.891207)
test 1.15  	| 0.927172(0.912764)
test 1.2  	| 0.938636(0.932039)
test 1.25  	| 0.946403(0.948985)
test 1.3  	| 0.951412(0.963558)
test 1.35  	| 0.954366(0.975723)
test 1.4  	| 0.955752(0.98545)
test 1.45  	| 0.955884(0.992713)
test 1.5  	| 0.95496(0.997495)
test 1.55  	| 0.953084(0.999784)
test 1.6  	| 0.950303(0.999574)
test 1.65  	| 0.946615(0.996865)
test 1.7  	| 0.941988(0.991665)
test 1.75  	| 0.936358(0.983986)
test 1.8  	| 0.929642(0.973848)
test 1.85  	| 0.921737(0.961275)
test 1.9  	| 0.912526(0.9463)
test 1.95  	| 0.901878(0.92896)
test 2  	| 0.889653(0.909297)
test 2.05  	| 0.875703(0.887362)
test 2.1  	| 0.859876(0.863209)
test 2.15  	| 0.842018(0.836899)
test 2.2  	| 0.821983(0.808496)
test 2.25  	| 0.799628(0.778073)
test 2.3  	| 0.774828(0.745705)
test 2.35  	| 0.747473(0.711473)
test 2.4  	| 0.717482(0.675463)
test 2.45  	| 0.6848(0.637765)
test 2.5  	| 0.649409(0.598472)
test 2.55  	| 0.611333(0.557684)
test 2.6  	| 0.570634(0.515501)
test 2.65  	| 0.527423(0.472031)
test 2.7  	| 0.481852(0.42738)
test 2.75  	| 0.434117(0.381661)
test 2.8  	| 0.384451(0.334988)
test 2.85  	| 0.333117(0.287478)
test 2.9  	| 0.280402(0.239249)
test 2.95  	| 0.226609(0.190423)
test 3  	| 0.172043(0.14112)
test 3.05  	| 0.117009(0.0914646)
test 3.1  	| 0.0617963(0.0415807)
test 3.15  	| 0.00667747(-0.00840725)
test 3.2  	| -0.0481002(-0.0583741)
test 3.25  	| -0.102317(-0.108195)
test 3.3  	| -0.155781(-0.157746)
test 3.35  	| -0.208332(-0.206902)
test 3.4  	| -0.259833(-0.255541)
test 3.45  	| -0.310172(-0.303542)
test 3.5  	| -0.359255(-0.350783)
test 3.55  	| -0.407001(-0.397148)
test 3.6  	| -0.453337(-0.44252)
test 3.65  	| -0.498192(-0.486787)
test 3.7  	| -0.541492(-0.529836)
test 3.75  	| -0.583157(-0.571561)
test 3.8  	| -0.623094(-0.611858)
test 3.85  	| -0.661201(-0.650625)
test 3.9  	| -0.697365(-0.687766)
test 3.95  	| -0.731465(-0.723188)
test 4  	| -0.763379(-0.756802)
test 4.05  	| -0.792989(-0.788525)
test 4.1  	| -0.820193(-0.818277)
test 4.15  	| -0.844913(-0.845984)
test 4.2  	| -0.867108(-0.871576)
test 4.25  	| -0.886777(-0.894989)
test 4.3  	| -0.903968(-0.916166)
test 4.35  	| -0.918776(-0.935053)
test 4.4  	| -0.931339(-0.951602)
test 4.45  	| -0.941831(-0.965773)
test 4.5  	| -0.950449(-0.97753)
test 4.55  	| -0.957399(-0.986844)
test 4.6  	| -0.962884(-0.993691)
test 4.65  	| -0.96709(-0.998054)
test 4.7  	| -0.970178(-0.999923)
test 4.75  	| -0.972273(-0.999293)
test 4.8  	| -0.973459(-0.996165)
test 4.85  	| -0.973773(-0.990547)
test 4.9  	| -0.973197(-0.982453)
test 4.95  	| -0.971649(-0.971903)
test 5  	| -0.96897(-0.958924)
test 5.05  	| -0.964907(-0.943549)
test 5.1  	| -0.95909(-0.925815)
test 5.15  	| -0.951013(-0.905767)
test 5.2  	| -0.940017(-0.883455)
test 5.25  	| -0.925292(-0.858934)
test 5.3  	| -0.905918(-0.832267)
test 5.35  	| -0.880963(-0.80352)
test 5.4  	| -0.849647(-0.772764)
test 5.45  	| -0.81155(-0.740077)
test 5.5  	| -0.766821(-0.70554)
test 5.55  	| -0.716292(-0.66924)
test 5.6  	| -0.661433(-0.631267)
test 5.65  	| -0.604139(-0.591716)
test 5.7  	| -0.546405(-0.550686)
test 5.75  	| -0.490005(-0.508279)
test 5.8  	| -0.436258(-0.464602)
test 5.85  	| -0.385924(-0.419764)
test 5.9  	| -0.339213(-0.373877)
test 5.95  	| -0.295869(-0.327055)
test 6  	| -0.255277(-0.279415)
test 6.05  	| -0.216571(-0.231078)
test 6.1  	| -0.17873(-0.182163)
test 6.15  	| -0.14065(-0.132792)
test 6.2  	| -0.101217(-0.0830894)
test 6.25  	| -0.0593672(-0.0331792)
test 6.3  	| -0.0141591(0.0168139)
test 6.35  	| 0.0351472(0.066765)
test 6.4  	| 0.0890019(0.116549)
test 6.45  	| 0.147477(0.166042)
test 6.5  	| 0.210194(0.21512)
test 6.55  	| 0.276294(0.26366)
test 6.6  	| 0.344474(0.311541)
test 6.65  	| 0.413097(0.358644)
test 6.7  	| 0.480378(0.40485)
test 6.75  	| 0.544599(0.450044)
test 6.8  	| 0.604316(0.494113)
test 6.85  	| 0.658494(0.536948)
test 6.9  	| 0.706569(0.57844)
test 6.95  	| 0.748412(0.618486)
test 7  	| 0.784246(0.656987)
test 7.05  	| 0.814534(0.693845)
test 7.1  	| 0.839877(0.728969)
test 7.15  	| 0.860917(0.762271)
test 7.2  	| 0.878285(0.793668)
test 7.25  	| 0.892559(0.823081)
test 7.3  	| 0.904247(0.850437)
test 7.35  	| 0.913778(0.875667)
test 7.4  	| 0.921513(0.898708)
test 7.45  	| 0.927741(0.919503)
test 7.5  	| 0.932696(0.938)
test 7.55  	| 0.93656(0.954152)
test 7.6  	| 0.939469(0.96792)
test 7.65  	| 0.941525(0.979268)
test 7.7  	| 0.942795(0.988168)
test 7.75  	| 0.943314(0.994599)
test 7.8  	| 0.94309(0.998543)
test 7.85  	| 0.942099(0.999992)
test 7.9  	| 0.940288(0.998941)
test 7.95  	| 0.937567(0.995394)
test 8  	| 0.933807(0.989358)
test 8.05  	| 0.928832(0.98085)
test 8.1  	| 0.92241(0.96989)
test 8.15  	| 0.91424(0.956506)
test 8.2  	| 0.903949(0.940731)
test 8.25  	| 0.891078(0.922604)
test 8.3  	| 0.875082(0.902172)
test 8.35  	| 0.855341(0.879484)
test 8.4  	| 0.831192(0.854599)
test 8.45  	| 0.801984(0.827577)
test 8.5  	| 0.767169(0.798487)
test 8.55  	| 0.726423(0.767401)
test 8.6  	| 0.679777(0.734397)
test 8.65  	| 0.62772(0.699557)
test 8.7  	| 0.571245(0.662969)
test 8.75  	| 0.51179(0.624724)
test 8.8  	| 0.451083(0.584917)
test 8.85  	| 0.390914(0.543648)
test 8.9  	| 0.332901(0.501021)
test 8.95  	| 0.278304(0.457141)
test 9  	| 0.227926(0.412118)
test 9.05  	| 0.182085(0.366066)
test 9.1  	| 0.140656(0.319098)
test 9.15  	| 0.103142(0.271333)
test 9.2  	| 0.0687519(0.22289)
test 9.25  	| 0.0364734(0.173889)
test 9.3  	| 0.0051396(0.124454)
test 9.35  	| -0.0265047(0.0747083)
test 9.4  	| -0.0597279(0.0247754)
test 9.45  	| -0.0957199(-0.0252194)
test 9.5  	| -0.135478(-0.0751511)
test 9.55  	| -0.179679(-0.124895)
test 9.6  	| -0.228553(-0.174327)
test 9.65  	| -0.28179(-0.223323)
test 9.7  	| -0.338517(-0.271761)
test 9.75  	| -0.397367(-0.319519)
test 9.8  	| -0.456653(-0.366479)
test 9.85  	| -0.514607(-0.412523)
test 9.9  	| -0.569625(-0.457536)
test 9.95  	| -0.620463(-0.501405)
